promedio,asistencia,reprobadas,semestre,ingreso_familiar,beca,trabaja,horas_trabajo,internet_casa,computadora_propia,deserto,probabilidad_desercion,riesgo
7.75,75,0,4,5144,0,0,0,1,1,0,0.356949020006479,0
8.13,78,4,8,11140,0,1,28,1,0,1,0.5968137711145066,1
6.27,44,0,6,11527,1,1,40,1,1,0,0.6550104391587008,1
7.88,76,1,8,7117,1,1,34,1,1,0,0.4986934728416729,1
6.82,75,1,10,5088,0,0,0,1,1,0,0.7178014772254943,1
8.43,100,5,7,10586,0,1,41,0,1,1,0.574057275915519,1
7.48,72,5,6,5104,1,1,30,1,0,1,0.8393996388888029,1
8.08,76,2,4,5124,0,0,0,0,1,0,0.5130653421698701,1
7.1,90,1,5,7657,0,0,0,0,1,0,0.4281507673753353,1
6.67,89,4,6,19609,1,1,37,0,1,0,0.7524283673353033,1
7.45,82,2,7,6880,1,1,36,0,1,1,0.64451932149378,1
8.45,91,3,9,9384,1,1,45,1,1,1,0.5977956132575714,1
6.49,46,3,6,18164,0,1,32,1,1,1,0.7855805926100038,1
7.65,71,1,4,9993,0,1,35,1,1,1,0.5654552928590904,1
10.0,66,3,5,20639,0,1,14,1,1,0,0.4076938776952322,1
6.06,75,3,9,13814,0,1,60,1,1,1,0.9113403043035394,1
4.98,50,3,5,5658,0,1,34,1,1,1,0.9031647463089024,1
5.57,84,0,6,11203,0,0,0,0,0,0,0.5823241313259235,1
6.62,69,5,10,15332,0,0,0,1,1,0,0.8202457482918932,1
7.08,82,1,4,9050,0,1,33,0,0,1,0.7401070704088017,1
3.53,75,3,7,9073,0,1,31,0,1,1,0.9074496157437334,1
3.93,80,2,10,10610,0,0,0,1,0,0,0.7862265543624503,1
8.32,90,4,5,22796,0,1,48,0,0,1,0.6397988718153194,1
4.85,64,6,7,3233,0,1,26,1,0,1,0.9167148782148782,1
8.16,53,1,9,3796,1,1,32,1,1,1,0.5793120765860871,1
9.02,73,1,4,5777,0,0,0,1,1,0,0.34901743915096645,0
3.0,64,1,6,6331,0,0,0,1,0,1,0.7927270966003008,1
7.96,72,4,8,17230,0,1,28,1,1,1,0.5483849460438083,1
7.14,65,3,7,4648,0,0,0,1,1,0,0.78913266976727,1
6.54,43,2,6,9380,1,1,44,1,0,0,0.8297922052082687,1
7.69,60,3,5,8200,0,0,0,1,0,0,0.695344075459284,1
6.99,63,1,6,18755,1,0,0,1,0,0,0.3923677683468776,0
7.94,78,4,6,3312,0,1,29,1,0,1,0.6438568420958132,1
10.0,84,2,6,4318,0,1,49,1,1,0,0.4784943869855636,1
7.57,93,2,6,15548,1,0,0,1,0,0,0.5065495498634716,1
5.15,77,1,9,30000,0,1,37,0,1,1,0.8318585781049012,1
9.3,100,0,8,7618,1,0,0,0,0,0,0.08644092087106792,0
8.87,98,4,5,7563,0,0,0,0,1,0,0.4405202851342559,1
9.38,69,3,7,7097,1,1,33,0,1,1,0.6684660829366712,1
7.7,69,1,5,20383,0,1,45,1,0,0,0.7607754874778534,1
8.5,59,2,6,7790,1,1,19,0,0,0,0.5393435787638576,1
10.0,74,7,5,13660,0,0,0,1,0,0,0.41157544899630816,1
6.99,70,1,7,5760,0,0,0,1,0,0,0.7215140665910096,1
6.12,81,0,6,4707,0,0,0,0,1,0,0.7081419599893684,1
9.39,100,2,6,27362,0,0,0,1,1,0,0.1643983384975005,0
6.56,100,2,8,17388,0,1,25,1,0,0,0.5677211895990149,1
8.93,84,3,6,5848,1,1,26,1,0,1,0.47993325188313585,1
