promedio,asistencia,reprobadas,semestre,ingreso_familiar,beca,trabaja,horas_trabajo,internet_casa,computadora_propia,deserto
9.43,100,1,2,20253,1,1,26,1,1,0
9.0,65,1,4,21041,1,0,0,1,1,0
8.61,92,2,10,14243,0,1,11,1,1,0
6.27,75,2,9,20089,1,0,0,1,1,1
6.76,89,2,10,20272,0,1,18,0,1,0
7.21,78,0,9,16519,0,0,0,1,1,0
7.65,83,0,3,20456,0,1,24,1,1,0
5.81,74,2,5,12993,0,1,14,1,1,1
7.83,84,1,6,17818,0,1,10,0,1,0
10.0,89,1,5,11518,0,0,0,1,1,0
8.51,83,2,2,12601,1,0,0,1,0,0
7.3,69,1,8,4951,0,0,0,1,1,0
7.13,76,2,4,15604,0,0,0,1,1,0
9.18,71,2,8,14750,0,0,0,1,0,0
7.18,83,1,2,3861,0,0,0,1,1,1
8.53,84,2,2,14993,1,0,0,1,1,0
7.53,89,2,1,10109,1,1,46,1,1,1
8.36,84,1,7,3428,0,1,43,1,0,1
7.52,79,3,5,22546,0,0,0,1,1,1
6.0,97,0,8,4694,1,0,0,1,1,1
5.93,87,1,3,3941,1,1,29,1,1,1
7.68,89,1,1,8042,1,0,0,0,1,0
8.82,76,1,9,5891,1,1,45,1,0,0
8.54,84,2,9,11725,0,0,0,1,1,0
7.69,84,0,5,17806,0,0,0,1,0,0
5.95,76,1,10,17100,0,0,0,1,1,0
7.34,73,1,8,14914,1,1,22,1,1,1
7.55,93,1,6,19307,1,0,0,1,0,0
6.99,76,5,5,20836,0,1,39,0,1,1
7.61,88,1,10,16692,0,0,0,1,1,0
9.65,82,2,2,3635,0,0,0,1,1,0
8.95,88,2,10,17120,0,0,0,1,1,0
7.46,67,0,1,13516,0,0,0,1,1,0
9.07,96,1,6,7684,0,0,0,1,1,0
9.02,60,0,10,14369,0,1,43,1,1,0
7.49,70,1,4,21639,0,0,0,1,1,1
5.42,71,1,4,3205,0,0,0,1,1,1
7.63,88,1,7,11299,0,1,17,1,1,0
7.46,92,3,3,18245,1,0,0,0,1,0
5.77,76,1,6,10444,1,1,33,1,1,1
9.01,84,0,1,24092,0,0,0,0,1,0
8.33,71,1,6,9387,0,0,0,1,1,0
6.99,82,1,2,15613,1,0,0,1,0,1
8.65,79,1,3,14049,1,1,10,1,0,0
8.56,79,2,2,5035,1,1,35,1,1,1
5.35,79,0,10,12003,0,0,0,1,1,0
7.08,83,1,2,22683,0,1,20,0,1,0
6.18,71,1,4,12158,0,0,0,1,1,1
7.15,83,2,9,13272,1,0,0,1,1,0
9.39,52,1,9,4222,1,0,0,0,1,0
6.74,68,2,10,5301,0,0,0,1,0,1
9.07,81,2,3,6093,1,1,21,1,1,0
8.51,67,1,10,17386,0,0,0,1,1,0
9.18,93,1,9,3342,1,0,0,1,1,0
9.93,94,3,1,6082,0,0,0,1,1,0
7.9,97,3,8,23568,1,1,31,1,1,1
7.99,82,2,4,15830,0,0,0,0,1,0
7.83,74,0,3,17458,1,1,24,1,1,1
8.65,73,1,1,23053,0,0,0,1,0,0
7.73,98,0,7,6482,0,0,0,1,1,0
7.71,81,1,1,6670,0,1,37,1,1,1
7.37,94,1,3,18642,0,0,0,1,1,0
9.06,83,1,4,19630,0,1,17,1,0,0
8.33,70,1,3,16122,0,0,0,1,1,0
7.06,88,1,9,11614,0,0,0,0,1,1
7.42,84,2,4,22406,0,0,0,1,0,1
4.69,82,1,6,9023,0,1,45,1,1,1
8.49,79,0,6,12374,0,0,0,1,1,0
8.62,56,2,10,14869,0,0,0,1,1,0
8.52,73,0,5,10333,0,0,0,0,0,0
7.16,65,4,2,21467,0,0,0,1,1,1
7.54,85,2,5,22188,1,1,35,1,1,0
7.88,94,1,10,7344,0,0,0,1,1,0
8.19,78,0,8,16255,0,0,0,1,1,0
6.53,87,0,7,17213,0,0,0,1,0,1
9.31,74,1,6,8154,0,1,20,1,1,0
9.33,87,1,8,22707,0,0,0,1,1,0
8.31,81,1,6,20295,0,0,0,1,0,0
8.24,65,2,1,16372,1,1,14,0,1,1
7.81,71,1,4,4057,0,0,0,0,0,1
6.57,97,1,8,24641,1,1,40,1,0,1
8.37,84,0,10,18636,1,1,12,1,1,0
6.97,89,4,6,17068,1,1,14,0,1,1
9.59,89,0,8,12161,0,0,0,1,1,0
7.97,96,1,8,4110,1,0,0,0,0,0
6.85,59,2,9,15038,0,0,0,1,1,1
7.71,69,3,9,8389,0,1,10,1,1,1
9.12,100,1,1,17515,1,0,0,1,1,0
9.81,75,2,3,21658,1,1,21,1,1,0
6.13,65,1,4,6095,1,1,38,1,0,1
5.62,89,2,5,16428,1,0,0,1,1,1
9.41,78,1,1,19277,0,0,0,1,1,0
10.0,81,3,9,21221,0,0,0,0,1,0
7.49,65,0,1,17606,1,1,27,1,1,1
5.65,72,0,10,10705,1,0,0,1,1,0
7.46,71,0,1,19494,0,0,0,0,1,0
6.71,67,4,9,16572,0,1,18,1,1,1
4.01,84,0,5,4188,1,1,24,1,0,1
8.46,78,4,2,20894,0,0,0,1,0,1
6.31,99,2,1,10092,0,1,30,1,1,1
7.81,77,1,8,7900,1,0,0,1,1,0
8.98,74,1,10,24055,0,0,0,1,0,0
7.97,88,2,3,16507,1,0,0,1,1,0
7.85,74,0,8,14287,1,1,41,1,1,1
6.26,79,2,7,6271,0,0,0,1,0,0
8.54,100,0,2,18586,0,0,0,1,1,0
6.6,97,0,5,16577,1,1,40,1,1,0
7.33,77,1,3,9356,0,0,0,0,1,0
7.77,90,1,7,20271,0,1,13,1,1,0
