promedio,asistencia,reprobadas,semestre,ingreso_familiar,beca,trabaja,horas_trabajo,internet_casa,computadora_propia,deserto,probabilidad_desercion,riesgo
7.75,75,0,4,5144,0,0,0,1,1,0,0.34356463,0
8.13,78,4,8,11140,0,1,28,1,0,1,0.6060656,1
6.27,44,0,6,11527,1,1,40,1,1,0,0.613949,1
7.88,76,1,8,7117,1,1,34,1,1,0,0.5207627,1
6.82,75,1,10,5088,0,0,0,1,1,0,0.60387033,1
8.43,100,5,7,10586,0,1,41,0,1,1,0.54077506,1
7.48,72,5,6,5104,1,1,30,1,0,1,0.8340786,1
8.08,76,2,4,5124,0,0,0,0,1,0,0.47971845,1
7.1,90,1,5,7657,0,0,0,0,1,0,0.3944024,0
6.67,89,4,6,19609,1,1,37,0,1,0,0.75867784,1
7.45,82,2,7,6880,1,1,36,0,1,1,0.7211026,1
8.45,91,3,9,9384,1,1,45,1,1,1,0.6163122,1
6.49,46,3,6,18164,0,1,32,1,1,1,0.7958118,1
7.65,71,1,4,9993,0,1,35,1,1,1,0.6074235,1
10.0,66,3,5,20639,0,1,14,1,1,0,0.36610335,0
6.06,75,3,9,13814,0,1,60,1,1,1,0.91913956,1
4.98,50,3,5,5658,0,1,34,1,1,1,0.93872374,1
5.57,84,0,6,11203,0,0,0,0,0,0,0.6063599,1
6.62,69,5,10,15332,0,0,0,1,1,0,0.8074285,1
7.08,82,1,4,9050,0,1,33,0,0,1,0.6350094,1
3.53,75,3,7,9073,0,1,31,0,1,1,0.9279864,1
3.93,80,2,10,10610,0,0,0,1,0,0,0.7862404,1
8.32,90,4,5,22796,0,1,48,0,0,1,0.65813476,1
4.85,64,6,7,3233,0,1,26,1,0,1,0.9398156,1
8.16,53,1,9,3796,1,1,32,1,1,1,0.63212246,1
9.02,73,1,4,5777,0,0,0,1,1,0,0.42921215,1
3.0,64,1,6,6331,0,0,0,1,0,1,0.84803015,1
7.96,72,4,8,17230,0,1,28,1,1,1,0.5839755,1
7.14,65,3,7,4648,0,0,0,1,1,0,0.7874048,1
6.54,43,2,6,9380,1,1,44,1,0,0,0.83076197,1
7.69,60,3,5,8200,0,0,0,1,0,0,0.68804425,1
6.99,63,1,6,18755,1,0,0,1,0,0,0.45804933,1
7.94,78,4,6,3312,0,1,29,1,0,1,0.6737781,1
10.0,84,2,6,4318,0,1,49,1,1,0,0.439342,1
7.57,93,2,6,15548,1,0,0,1,0,0,0.47558102,1
5.15,77,1,9,30000,0,1,37,0,1,1,0.804568,1
9.3,100,0,8,7618,1,0,0,0,0,0,0.09159418,0
8.87,98,4,5,7563,0,0,0,0,1,0,0.4418968,1
9.38,69,3,7,7097,1,1,33,0,1,1,0.7566965,1
7.7,69,1,5,20383,0,1,45,1,0,0,0.7412333,1
8.5,59,2,6,7790,1,1,19,0,0,0,0.5499925,1
10.0,74,7,5,13660,0,0,0,1,0,0,0.36919767,0
6.99,70,1,7,5760,0,0,0,1,0,0,0.67543364,1
6.12,81,0,6,4707,0,0,0,0,1,0,0.7147211,1
9.39,100,2,6,27362,0,0,0,1,1,0,0.17453209,0
6.56,100,2,8,17388,0,1,25,1,0,0,0.57095355,1
8.93,84,3,6,5848,1,1,26,1,0,1,0.53133035,1
6.26,62,0,9,5719,0,1,31,1,1,1,0.67467463,1
6.36,80,3,5,2925,0,1,36,1,1,1,0.8837824,1
7.58,82,2,8,16845,1,1,31,1,1,0,0.58292717,1
7.62,64,2,6,15433,0,1,43,0,0,1,0.84304756,1
5.91,72,3,6,4748,0,1,38,0,0,1,0.951866,1
9.7,86,3,7,2000,0,1,34,1,1,1,0.5580489,1
6.45,67,2,6,10332,0,0,0,1,1,0,0.66902506,1
8.23,60,1,6,8428,1,1,17,0,1,1,0.4389538,1
5.68,71,5,4,18064,1,1,23,1,1,1,0.859732,1
6.17,78,2,4,6126,0,1,41,1,0,1,0.904333,1
6.23,93,3,8,7462,0,0,0,1,0,0,0.74073035,1
7.38,64,2,6,5404,0,0,0,1,1,0,0.69275343,1
7.38,85,2,8,30000,0,0,0,1,1,0,0.430882,1
7.47,76,2,10,11590,0,0,0,1,1,0,0.49886733,1
7.16,81,0,8,17817,0,1,32,0,0,1,0.47814584,1
8.59,79,3,4,5890,0,0,0,1,0,0,0.50058824,1
8.57,63,3,5,16517,1,0,0,1,0,0,0.45212448,1
6.44,40,2,7,17248,1,0,0,1,0,0,0.64558256,1
7.36,61,3,5,7034,1,1,14,1,1,0,0.72280306,1
7.86,79,0,10,10079,0,0,0,1,1,0,0.18336824,0
8.27,76,2,10,30000,1,0,0,0,0,0,0.36410275,0
7.95,79,3,9,10057,0,0,0,0,1,1,0.4447467,1
6.61,72,3,6,5171,0,1,29,0,0,1,0.90908575,1
6.63,75,1,9,13032,0,1,40,1,0,1,0.7330396,1
7.25,69,1,4,4014,0,0,0,1,1,0,0.64033765,1
7.92,93,3,5,12509,0,1,38,1,1,0,0.5618729,1
5.47,54,2,6,4260,1,1,39,0,1,1,0.92894524,1
5.58,64,7,8,7240,0,1,18,1,0,1,0.9067063,1
6.51,61,3,6,8139,0,1,22,0,1,1,0.82263875,1
7.28,72,3,4,3113,0,0,0,0,1,0,0.8145238,1
6.11,84,3,5,4813,0,1,24,0,0,1,0.9118891,1
6.45,99,3,5,26208,1,0,0,0,1,0,0.64896905,1
5.86,89,0,5,7632,0,0,0,1,1,1,0.5499182,1
7.94,88,2,4,5015,0,0,0,1,1,0,0.43708053,1
3.99,95,1,6,3502,0,1,34,0,1,1,0.8996955,1
7.11,89,2,6,9208,1,0,0,1,0,0,0.4807664,1
6.08,89,1,8,30000,0,0,0,0,1,0,0.47719425,1
7.17,62,1,8,2643,0,0,0,0,1,0,0.7095399,1
7.42,66,4,6,13275,0,0,0,1,0,1,0.73643124,1
3.0,84,1,6,6837,1,1,35,0,1,1,0.91698307,1
8.88,76,3,8,10466,0,1,43,0,1,0,0.72654057,1
8.26,70,4,9,19093,0,1,36,1,1,0,0.67907816,1
9.61,90,1,7,5651,0,0,0,1,0,0,0.15164222,0
8.36,68,1,9,5075,0,1,57,0,0,1,0.7717134,1
8.56,80,2,10,10120,1,1,20,1,0,1,0.2898659,0
7.99,74,1,4,4770,0,0,0,1,0,0,0.47490394,1
9.63,61,2,9,30000,0,0,0,1,0,0,0.26122463,0
5.03,99,0,5,18157,0,1,46,1,0,1,0.85553175,1
6.97,51,3,6,7517,1,1,39,1,1,1,0.82154727,1
5.68,57,1,8,3251,1,1,30,1,1,1,0.8939735,1
8.51,69,1,8,4046,1,1,38,1,0,1,0.6879755,1
7.54,94,3,4,12783,1,0,0,1,1,0,0.588958,1
9.69,93,2,7,7128,1,0,0,1,1,0,0.15283419,0
7.36,65,1,4,8603,0,1,31,0,0,0,0.69248784,1
6.86,83,0,5,6429,1,0,0,1,1,0,0.47502705,1
6.86,71,2,9,10355,1,0,0,1,0,0,0.65478903,1
5.95,60,2,6,7020,1,1,31,0,0,1,0.85448253,1
3.92,79,2,7,6510,0,1,26,1,1,1,0.901556,1
7.08,75,3,8,10089,0,1,52,1,1,1,0.84393233,1
6.45,66,1,9,5646,0,1,27,1,1,1,0.7086021,1
6.42,85,3,8,21905,0,1,41,0,0,1,0.8259145,1
5.32,88,5,4,6803,0,1,38,1,1,1,0.9328082,1
7.28,61,0,6,9203,0,1,49,1,0,1,0.6613097,1
5.48,98,2,6,3190,0,1,22,1,0,0,0.8907061,1
7.55,82,1,4,4559,0,0,0,1,0,0,0.4786533,1
6.75,72,2,7,6075,1,1,42,1,0,1,0.88729674,1
6.62,97,2,7,7703,0,1,46,1,1,1,0.69290483,1
4.63,86,2,9,3402,1,1,30,1,0,1,0.92018956,1
7.64,88,1,10,9762,0,1,27,0,0,1,0.45059615,1
8.49,86,1,4,8245,0,0,0,1,1,0,0.23988594,0
6.91,71,1,5,8754,1,1,33,1,0,1,0.6830098,1
6.2,83,2,7,12229,0,1,16,1,0,1,0.6015498,1
8.09,73,1,4,7033,0,1,16,0,1,1,0.47974554,1
8.35,64,2,5,7953,1,1,48,1,0,1,0.7702755,1
6.44,62,3,7,3369,0,0,0,1,1,0,0.8674499,1
10.0,82,5,4,4973,0,1,36,1,1,1,0.6003522,1
9.07,89,2,8,9985,1,1,32,1,1,1,0.41152328,1
9.49,54,2,9,9796,0,1,33,0,1,0,0.6349341,1
7.78,98,0,4,15753,0,1,29,1,1,1,0.3062559,0
7.75,85,2,7,2988,0,1,25,1,1,1,0.5785929,1
5.57,88,1,8,14790,0,1,41,1,1,1,0.85837674,1
6.71,71,4,10,7469,1,0,0,1,1,0,0.7884457,1
7.21,84,0,5,10013,0,1,23,0,1,1,0.30949083,0
8.22,85,3,4,5547,0,0,0,1,1,0,0.48962444,1
6.33,56,2,9,9703,0,0,0,1,1,0,0.6757152,1
5.78,89,2,9,2690,1,1,24,1,1,0,0.8870921,1
8.97,100,6,5,9102,0,0,0,1,0,1,0.41123453,1
7.29,64,1,6,15555,0,0,0,1,1,0,0.4768706,1
8.61,50,1,8,9252,1,1,26,1,1,0,0.36315674,0
7.29,64,3,9,11408,0,0,0,0,0,0,0.75813776,1
6.16,87,3,4,15356,1,1,25,1,0,1,0.81865627,1
7.09,81,2,7,3063,1,1,33,0,0,1,0.7969081,1
3.24,62,2,9,2806,0,1,37,0,1,1,0.93293995,1
8.66,66,0,7,11190,1,1,23,1,1,0,0.22053824,0
8.0,50,1,4,30000,0,0,0,1,1,0,0.32692492,0
8.97,77,3,4,11723,1,1,21,1,1,1,0.4183302,1
6.77,45,2,5,30000,0,0,0,1,1,0,0.57291466,1
10.0,72,1,9,8660,0,1,36,1,1,1,0.2714163,0
9.05,56,2,4,4437,0,1,36,1,1,0,0.72989964,1
4.34,72,2,4,2000,0,1,38,0,1,1,0.93322974,1
4.31,84,1,6,12951,0,1,10,1,0,0,0.77048576,1
7.52,72,4,4,18194,0,1,32,1,1,1,0.74258363,1
4.92,78,2,4,6572,0,0,0,1,1,0,0.8369958,1
6.88,79,1,4,30000,0,0,0,1,1,0,0.38052407,0
6.83,70,1,6,2719,0,1,34,1,0,1,0.81695324,1
6.62,64,3,8,8206,0,0,0,1,0,1,0.7953965,1
9.49,50,2,6,16588,0,1,24,1,1,0,0.36201522,0
8.01,79,4,4,3003,0,1,30,1,1,0,0.6395362,1
8.13,94,1,5,11082,1,1,38,1,1,1,0.38632056,0
7.48,100,2,7,13300,0,1,25,1,1,0,0.45283684,1
10.0,49,0,10,13638,0,1,30,1,0,0,0.2721929,0
9.21,61,1,10,20559,0,0,0,0,1,0,0.22779903,0
6.02,83,1,5,9290,0,1,21,0,0,1,0.58808416,1
8.0,100,3,4,4032,0,1,39,1,1,1,0.5711577,1
5.94,60,7,9,6568,0,1,25,1,1,1,0.9219976,1
6.84,77,3,10,9961,0,0,0,1,0,0,0.7352669,1
6.98,78,2,6,3564,1,1,23,0,0,1,0.7059566,1
4.91,67,1,8,11385,1,0,0,1,0,1,0.78979117,1
