Matricula,Oferta Educativa,Grado,Genero,Promedio Final,Promedio Cuatrimestre Anterior,Promedio Bachillerato,probabilidad_desercion,riesgo
1763746926,Enfermería,sexto ,Hombre,9.3,8.8,9.0,0.005313606,0
1774377254,Enfermería,undécimo ,Mujer,9.5,9.8,8.1,0.003942084,0
1717514095,Criminalística y Ciencias Forenses,tercero ,Mujer,9.0,8.1,8.4,0.010215011,0
1780926382,Negocios y Mercadotecnia,tercero ,Mujer,9.1,9.7,9.0,0.003769618,0
1742648613,Enfermería,noveno ,Mujer,9.0,9.1,8.3,0.005522399,0
1781989413,Enfermería,tercero ,Mujer,9.1,10.0,8.8,0.0038465615,0
1767203173,Médico Cirujano y Partero,noveno ,Mujer,9.6,9.2,9.1,0.00396972,0
1715593519,Industrial,noveno ,Hombre,9.2,8.7,8.6,0.005088252,0
1719376874,Salud Reproductiva y Partería,sexto ,Hombre,9.5,9.4,8.7,0.004776208,0
1714798808,Innovación de Negocios y Mercadotecnia,duodécimo ,Mujer,8.9,9.2,8.4,0.006122996,0
1768707720,Mecatrónica,undécimo ,Hombre,9.1,8.7,8.6,0.005263136,0
1772204969,Enfermería,tercero ,Mujer,9.5,10.0,7.9,0.004107596,0
1786871066,Criminalística y Ciencias Forenses,noveno ,Mujer,9.0,8.6,8.3,0.009664766,0
1774275202,Mecatrónica,primero ,Hombre,9.5,7.8,7.8,0.86024916,1
1742049668,Terapia Física,undécimo ,Mujer,9.0,10.0,8.0,0.0056379237,0
1799260334,Mecatrónica,tercero ,Mujer,9.1,8.8,7.4,0.0062124543,0
1766362519,Enfermería,duodécimo ,Mujer,9.7,9.0,8.6,0.005042394,0
1784539686,Criminalística y Ciencias Forenses,sexto ,Mujer,9.1,9.0,9.4,0.008766851,0
1700883826,Contaduría,tercero ,Hombre,9.3,8.8,8.2,0.0047529642,0
1757840297,Negocios y Mercadotecnia,tercero ,Hombre,9.4,8.7,9.0,0.004521275,0
1757830093,Contaduría,tercero ,Hombre,9.3,8.6,9.1,0.0047731856,0
1761204070,Mecatrónica,primero ,Hombre,9.3,9.2,7.8,0.8676481,1
1701156400,Enfermería,tercero ,Mujer,9.2,8.9,7.9,0.0042619444,0
1721495636,Enfermería,tercero ,Mujer,8.8,9.6,9.0,0.0039417394,0
1770574315,Innovación de Negocios y Mercadotecnia,primero ,Mujer,9.3,9.5,8.4,0.879446,1
1750852332,Negocios y Mercadotecnia,sexto ,Mujer,9.0,8.6,7.8,0.004668806,0
1792236380,Enfermería,tercero ,Mujer,9.5,9.2,8.1,0.0040499023,0
1776170881,Industrial,tercero ,Hombre,9.7,8.9,8.7,0.004168692,0
1769269830,Terapia Física,tercero ,Mujer,8.7,8.6,8.1,0.006640487,0
1710446882,Diseño Digital y Producción Audiovisual,tercero ,Mujer,9.7,9.6,7.0,0.0117636155,0
1722375707,Enfermería,undécimo ,Mujer,9.1,9.1,8.3,0.0073358472,0
1730735732,Mecatrónica,tercero ,Hombre,9.2,8.9,8.4,0.004533458,0
1782811152,Negocios y Mercadotecnia,tercero ,Hombre,9.0,8.7,8.5,0.004227354,0
1783030437,Terapia Física,undécimo ,Mujer,9.3,8.6,9.2,0.0063908393,0
1776200256,Innovación de Negocios y Mercadotecnia,undécimo ,Mujer,9.3,10.0,8.5,0.0033558223,0
1755525714,Criminalística y Ciencias Forenses,sexto ,Hombre,9.6,9.4,8.6,0.004493424,0
1700423200,Terapia Física,noveno ,Mujer,9.0,8.5,9.1,0.009188913,0
1745284704,Enfermería,sexto ,Mujer,9.7,9.3,8.5,0.0044324775,0
1720346021,Terapia Física,noveno ,Hombre,9.4,9.8,9.7,0.0038705012,0
1789592771,Enfermería,noveno ,Hombre,9.3,9.3,7.8,0.006053335,0
1756191907,Contaduría,sexto ,Mujer,9.2,10.0,8.0,0.00407553,0
1708569692,Industrial,décimo tercero,Hombre,9.1,8.3,8.8,0.012533774,0
1718796833,Contaduría,tercero ,Hombre,9.2,8.0,9.2,0.014368506,0
1707261165,Terapia Física,primero ,Mujer,9.3,9.3,8.4,0.8609705,1
1728959950,Enfermería,tercero ,Hombre,9.2,9.3,7.9,0.0056843976,0
1739554074,Terapia Física,primero ,Hombre,9.0,7.2,9.5,0.79800403,1
1746353267,Diseño Digital y Producción Audiovisual,noveno ,Hombre,9.3,8.8,8.1,0.0049016853,0
1731920729,Salud Reproductiva y Partería,primero ,Hombre,9.0,8.6,8.7,0.8004933,1
1769494684,Terapia Física,tercero ,Mujer,9.3,8.3,9.2,0.009925284,0
1709901587,Mecatrónica,noveno ,Mujer,9.2,8.6,8.2,0.010201738,0
1740645629,Innovación de Negocios y Mercadotecnia,noveno ,Mujer,9.4,9.5,8.1,0.0071287923,0
1724584034,Diseño Digital y Producción Audiovisual,undécimo ,Mujer,9.5,8.6,8.2,0.0038243853,0
1799463046,Industrial,noveno ,Mujer,9.5,8.6,9.0,0.009261325,0
1799543139,Contaduría,noveno ,Hombre,9.3,8.2,9.1,0.0127328215,0
1792907437,Negocios y Mercadotecnia,sexto ,Hombre,9.4,9.9,8.5,0.0045593525,0
1761037120,Contaduría,sexto ,Hombre,9.1,9.4,9.5,0.007362675,0
1702420079,Diseño Digital y Producción Audiovisual,noveno ,Hombre,9.4,7.7,8.5,0.012134491,0
1712126097,Terapia Física,tercero ,Hombre,9.5,8.6,9.2,0.006389193,0
1799912863,Criminalística y Ciencias Forenses,duodécimo ,Mujer,8.8,9.5,8.3,0.00906566,0
1794173848,Terapia Física,undécimo ,Mujer,9.3,9.9,9.8,0.0054621208,0
1739487202,Contaduría,duodécimo ,Mujer,9.6,9.7,9.4,0.004723372,0
1731067640,Enfermería,tercero ,Hombre,9.1,9.0,8.4,0.00855336,0
1766828003,Tecnologías de la Información e Innovación Digital,décimo tercero,Mujer,9.1,8.0,9.3,0.01148547,0
1785203828,Mecatrónica,primero ,Hombre,9.1,9.7,9.3,0.8097211,1
1763294428,Criminalística y Ciencias Forenses,undécimo ,Mujer,8.8,9.0,9.3,0.0062266514,0
1734346864,Enfermería,noveno ,Hombre,9.3,9.2,7.1,0.006175096,0
1799694261,Innovación de Negocios y Mercadotecnia,sexto ,Hombre,9.2,9.1,8.9,0.008012774,0
1789905679,Industrial,primero ,Hombre,9.3,8.4,8.8,0.8499743,1
1781914452,Mecatrónica,noveno ,Hombre,9.4,9.4,8.8,0.0064457813,0
1770530683,Terapia Física,tercero ,Hombre,9.0,9.3,8.6,0.007992628,0
1735256992,Criminalística y Ciencias Forenses,sexto ,Hombre,9.3,8.9,8.6,0.005282479,0
1762193786,Enfermería,segundo ,Hombre,9.4,9.4,9.2,0.9161942,1
1702808705,Terapia Física,primero ,Hombre,9.1,8.4,8.8,0.83069986,1
1745945443,Salud Reproductiva y Partería,cuarto ,Hombre,9.4,9.0,8.6,0.008546528,0
1722381800,Mecatrónica,noveno ,Mujer,9.3,9.2,9.1,0.0059272107,0
1745526897,Contaduría,tercero ,Mujer,9.0,8.1,8.7,0.010525515,0
1757479397,Tecnologías de la Información e Innovación Digital,tercero ,Mujer,9.3,9.1,8.8,0.005852934,0
1791483508,Contaduría,tercero ,Mujer,9.1,9.6,9.5,0.003909125,0
1704325124,Diseño Digital y Producción Audiovisual,tercero ,Mujer,9.4,9.0,8.3,0.0063696974,0
1781971467,Criminalística y Ciencias Forenses,sexto ,Hombre,9.2,9.1,7.7,0.008036836,0
1705010498,Médico Cirujano y Partero,tercero ,Hombre,8.8,9.5,8.5,0.0055288,0
1750018204,Enfermería,sexto ,Hombre,9.3,8.9,8.6,0.005282479,0
1765044524,Médico Cirujano y Partero,segundo ,Mujer,9.3,9.0,8.9,0.8900185,1
1764449920,Industrial,sexto ,Mujer,8.9,8.5,8.6,0.0044242344,0
1748023007,Enfermería,décimo tercero,Mujer,9.5,9.2,8.9,0.003939961,0
