Matricula,Oferta Educativa,Grado,Grupo,Genero,Estado Nacimiento,Municipio Nacimiento,Estado,Municipio,Estatus,Promedio Final,Promedio Cuatrimestre Anterior,Bachillerato de Procedencia,Bachillerato (Estado),Bachillerato (Municipio),Promedio Bachillerato
1725110615,Contaduría,primero ,11,Hombre,HIDALGO,TULANCINGO DE BRAVO,HIDALGO,SINGUILUCAN,Baja Definitiva,9.405000000000001,9.405000000000001,COLEGIO NACIONAL DE EDUCACION PROFECIONAL TECNICA,Hidalgo,Acatlán,7.9
1725110510,Contaduría,primero ,11,Mujer,HIDALGO,TULANCINGO DE BRAVO,HIDALGO,TULANCINGO DE BRAVO,Baja Definitiva,9.405000000000001,9.405000000000001,universidad autónoma del estado de hidalgo preparatoria numero 2,Hidalgo,Tulancingo de Bravo,8.1
1725110496,Contaduría,primero ,11,Mujer,MÉXICO,CHIMALHUACÁN,HIDALGO,SANTIAGO TULANTEPEC DE LUGO GUERRERO,Abandono,9.405000000000001,9.405000000000001,"Centro Nacional de Evaluación para la Educación Superior, A.C. (CENEVAL)",Ciudad de México,Álvaro Obregón,6.6
1725110367,Contaduría,primero ,11,Hombre,HIDALGO,TULANCINGO DE BRAVO,HIDALGO,TULANCINGO DE BRAVO,Abandono,9.405000000000001,9.405000000000001,Cbtis 287,Hidalgo,Santiago Tulantepec de Lugo Guerrero,8.0
1725111122,Contaduría,primero ,11,Hombre,HIDALGO,TULANCINGO DE BRAVO,HIDALGO,TULANCINGO DE BRAVO,Baja Definitiva,9.405000000000001,9.405000000000001,"Colegio de Estudios Científicos y Tecnológicos del Estado de Hidalgo, Plantel Tulancingo.",Hidalgo,Tulancingo de Bravo,7.9
1725111101,Contaduría,primero ,12,Mujer,PUEBLA,PAHUATLÁN,PUEBLA,PAHUATLÁN,Baja Definitiva,9.405000000000001,9.405000000000001,Cobaep,Puebla,Pahuatlán,7.5
1725110678,Contaduría,primero ,12,Hombre,HIDALGO,TULANCINGO DE BRAVO,HIDALGO,CUAUTEPEC DE HINOJOSA,Abandono,9.405000000000001,9.405000000000001,Desconocido,Desconocido,Desconocido,8.5
1725111129,Contaduría,primero ,12,Mujer,HIDALGO,TULANCINGO DE BRAVO,HIDALGO,TULANCINGO DE BRAVO,Abandono,9.405000000000001,9.405000000000001,Escuela Preparatoria No.2,Hidalgo,Tulancingo de Bravo,7.82
1725110706,Contaduría,primero ,12,Mujer,HIDALGO,PACHUCA DE SOTO,HIDALGO,TULANCINGO DE BRAVO,Abandono,9.405000000000001,9.405000000000001,Albert Einstein,Hidalgo,Tulancingo de Bravo,8.0
1725111157,Contaduría,primero ,12,Hombre,HIDALGO,SAN BARTOLO TUTOTEPEC,HIDALGO,HUEHUETLA,Abandono,9.405000000000001,9.405000000000001,Centro de Estudis de Bachillerato CEB 6/7 Gabino Barreda,Hidalgo,Huehuetla,7.6
1725110051,Contaduría,primero ,12,Mujer,MÉXICO,NEZAHUALCÓYOTL,HIDALGO,TULANCINGO DE BRAVO,Abandono,9.405000000000001,9.405000000000001,Bachillerato Etac Campus Tulancingo,Hidalgo,Tulancingo de Bravo,9.7
1725110758,Contaduría,primero ,13,Hombre,HIDALGO,TENANGO DE DORIA,HIDALGO,TENANGO DE DORIA,Abandono,9.405000000000001,9.405000000000001,Telebachillerato Comunitario San Francisco la laguna,Hidalgo,Tenango de Doria,7.0
1725110402,Contaduría,primero ,13,Hombre,HIDALGO,TULANCINGO DE BRAVO,HIDALGO,TULANCINGO DE BRAVO,Abandono,9.405000000000001,9.405000000000001,Colegio de bachilleres del estado de Hidalgo,Hidalgo,Tulancingo de Bravo,7.7
1725111001,Contaduría,primero ,13,Hombre,HIDALGO,TULANCINGO DE BRAVO,HIDALGO,TULANCINGO DE BRAVO,Baja Definitiva,9.405000000000001,9.405000000000001,Escuela Preparatoria no.2 de la UAEH,Hidalgo,Tulancingo de Bravo,8.3
1725111149,Contaduría,primero ,13,Mujer,PUEBLA,HUAUCHINANGO,HIDALGO,TULANCINGO DE BRAVO,Abandono,9.405000000000001,9.405000000000001,CBTIS 287,Hidalgo,Santiago Tulantepec de Lugo Guerrero,7.8
1725111095,Contaduría,primero ,13,Mujer,Desconocido,Desconocido,HIDALGO,TULANCINGO DE BRAVO,Baja Definitiva,9.405000000000001,9.405000000000001,Desconocido,Desconocido,Desconocido,8.5
1725110907,Contaduría,primero ,13,Hombre,CIUDAD DE MÉXICO,AZCAPOTZALCO,HIDALGO,AGUA BLANCA DE ITURBIDE,Abandono,9.405000000000001,9.405000000000001,Centro de Bachillerato Tecnológico Agropecuario 126,Hidalgo,Metepec,7.9
1725110843,Contaduría,primero ,14,Mujer,HIDALGO,TULANCINGO DE BRAVO,HIDALGO,TULANCINGO DE BRAVO,Baja Definitiva,9.405000000000001,9.405000000000001,Escuela Preparatoria Número 2 UAEH,Hidalgo,Tulancingo de Bravo,8.66
1725111057,Criminalística y Ciencias Forenses,primero ,11,Mujer,HIDALGO,TULANCINGO DE BRAVO,HIDALGO,SINGUILUCAN,Abandono,9.09,9.004999999999999,Centro de bachillerato Tecnológico Industrial y de Servicios No. 179,Hidalgo,Tulancingo de Bravo,7.5
1725111055,Criminalística y Ciencias Forenses,primero ,11,Mujer,HIDALGO,TULANCINGO DE BRAVO,HIDALGO,SANTIAGO TULANTEPEC DE LUGO GUERRERO,Abandono,9.09,9.004999999999999,COBAEH plantel cuautepec,Hidalgo,Cuautepec de Hinojosa,9.1
1725110487,Criminalística y Ciencias Forenses,primero ,11,Mujer,HIDALGO,TULANCINGO DE BRAVO,HIDALGO,TULANCINGO DE BRAVO,Abandono,9.09,9.004999999999999,Preparatoria Tollancingo,Hidalgo,Tulancingo de Bravo,8.5
